English	Spanish
My father encouraged me to learn how to play the piano.	Mi padre me sugirió aprender piano.
Tom likes to travel alone.	A Tomás le gusta viajar solo.
It's about time for bed.	Va siendo hora de irse a la cama.
Can you explain it to me?	¿Me lo podría explicar?
I received a letter informing me of his arrival.	Recibí una carta informándome de su llegada.
Did you eat your spinach?	¿Te comiste tus espinacas?
Can you give me more food?	¿Puede darme más comida?
The lake is deep here.	El lago es profundo por aquí.
This chair is broken.	Esta silla está rota.
I love the way you walk.	Me encanta tu manera de andar.
I felt as happy as if I were still dreaming.	Me sentía gracioso, como si todavía siguiera soñando.
I bought an electric car.	Compré un coche eléctrico.
You can't blame him.	No puede culparle.
Do you think I'm fat?	¿Pensáis que estoy gordo?
They found no such proof.	Ellos no encontraron tales pruebas.
How far is it from here to the museum?	¿Cómo de lejos está el museo?
There is a bench under the tree.	Hay un banco debajo del árbol.
You have a lot of books.	Tienes un montón de libros.
Tom knows there's only one thing he can do.	Tom sabe que sólo hay una cosa que puede hacer.
This is a difficult math problem.	Este es un problema de matemáticas difícil.
Swimming strengthens the legs.	Nadar fortalece las piernas
Take this gentleman to my office.	Conduzca a este señor a mi oficina.
Tom just wants something to eat.	Tom solo quiero algo para comer.
The feeling is mutual.	El sentimiento es mutuo.
I'd like to believe that Tom told us the truth.	Me gustaría creer que Tom nos contó la verdad.
I'm going to deal with Tom.	Me voy a encargar de Tom.
I know only this.	Tan sólo sé esto.
There is milk all over the kitchen floor because my wife broke the bottle.	Hay leche por todo el piso de la cocina porque mi esposa rompió la botella.
Wait for me outside.	Espera por mí fuera.
Tom and Mary are talking to John.	Tom y Mary están conversando con John.
Aren't you hot?	¿No tenéis calor?
The lawyer asked the judge to make allowance for the age of the accused.	El abogado le pidió al juez que sea indulgente por la edad del acusado.
You're worse than I am.	Sos peor que yo.
She gave him a sweater on his birthday.	Ella le regaló un suéter en su cumpleaños.
How's everyone at the Hong Kong office?	¿Cómo están todos en la oficina de Hong Kong?
How about we meet tomorrow?	¿Qué tal si quedamos mañana?
Tom is mad at Mary.	Tom está furioso con Mary.
He's old enough to drive a car.	Tiene la edad suficiente como para conducir un auto.
I am calling my brother.	Estoy llamando a mi hermano.
He runs as fast as you.	Él corre tan rápido como tú.
My socks are still damp.	Mis calcetas siguen húmedas.
He took over the business after her death.	Él se hizo cargo del negocio después de su muerte.
Oh, don't worry about that.	Oh, no te preocupes por eso.
She invited her friends to dinner.	Ella invitó a sus amigos a cenar.
Who planted these trees?	¿Quién plantó estos árboles?
I want you to meet my parents.	Quiero que conozcas a mis padres.
He told me his name was Tom.	Me dijo que se llamaba Tom.
I am from Ecuador.	Soy de Ecuador.
I really don't have an opinion about it.	Realmente no tengo una opinión respecto a ello.
We can let you have it on credit.	Se lo podemos dar fiado.
You're very smart.	Eres muy inteligente.
I have to walk slowly.	Tengo que caminar despacio.
You know what I mean.	Sabes lo que quiero decir.
Tom went to the Australian embassy to get a visa.	Tom fue a la embajada australiana a conseguir una visa.
The child slept on its mother's lap.	El niño durmió en el regazo de su madre.
You can start right now.	Puede empezar ahora mismo.
That would be very sad.	Eso sería muy triste.
They didn't play tennis yesterday.	Ayer no jugaron al tenis.
I have a very boring job.	Tengo un trabajo muy aburrido.
We can't have a press conference on Friday.	No podemos tener una conferencia de prensa el viernes.
The computer is new.	La computadora es nueva.
I can't remember the meaning of the word that I looked up yesterday.	No puedo recordar el significado de la palabra que había buscado ayer.
Do you regret what happened?	¿Sientes lo sucedido?
I can't afford a new car.	No me puedo costear un auto nuevo.
And everyone has the ability to contribute.	Y todo el mundo tiene la capacidad de contribuir.
Your family needs you.	Tu familia te necesita.
She will get along with my grandmother.	Ella se llevará bien con mi abuela.
Maybe it'll snow.	Quizá nieve.
Germany and Japan were defeated.	Alemania y Japón fueron derrotados.
This is my coach.	Éste es mi entrenador.
He threw the letter into the fire.	Él arrojó la carta al fuego.
Most castles have a moat surrounding them.	La mayoría de los castillos tienen un foso rodeándolos.
The grass in the park is green and beautiful.	La hierba del parque es verde y bonita.
Tom called a taxi for me.	Tom llamó un taxi para mí.
Enjoy yourselves.	Diviértanse.
I really love the sun.	Me gusta mucho el sol.
It doesn't seem that big.	No parece tan grande.
How did Tom escape?	¿Cómo escapó Tom?
Three people are still missing.	Todavía faltan tres personas.
Why did you say that?	¿Por qué dijiste eso?
This is where the accident happened.	Fue aquí donde ocurrió el accidente.
Tom's car ran out of gas.	Al carro de Tom se le acabó la gasolina.
She betrayed her friends for the first time.	Ella traicionó a sus amigas por primera vez.
She speaks frankly.	Ella habla con franqueza.
I love weddings.	Me encantan los casamientos.
Tom's eyes are open.	Los ojos de Tomás están abiertos.
They are talking in the kitchen.	Están hablando en la cocina.
Kyoto depends on the tourist industry.	Kyoto depende de la industria del turismo.
He was too busy to notice it.	Él estaba demasiado ocupado como para fijarse en ello.
He always takes sides with her.	Él siempre se pone del lado de ella.
Don't buy your car from that dealership. They'll rob you blind.	No compres tu coche en ese concesionario. Te robarán descaradamente.
The old man wanders from town to town peddling his wares.	El anciano deambula de pueblo en pueblo vendiendo sus productos.
I wish that I could speak French as well as Tom.	Ojalá supiera hablar francés tan bien como Tom.
The Congress had no money.	El congreso no tenía dinero.
Never mind, I can do it by myself.	No importa, lo puedo hacer yo solo.
You must eat.	Tenés que comer.
I didn't know that dogs swim well.	No sabía que los perros nadaran bien.
He is a student at a high school.	Él es un estudiante de secundaria.
He gave her an approving nod.	Él le dio a ella un gesto de aprobación.
I have no one to turn to for advice.	No tengo a nadie a quien acudir para que me aconseje.
She's two years younger than him.	Ella es dos años más joven que él.
I wanted to talk to you about Tom.	Quería hablar con vos sobre Tom.
What do you want to do first?	¿Qué querés hacer primero?
He was attracted by her smile.	Fue atraído por su sonrisa.
You're my son.	Eres mi hijo.
I can't even do that.	Ni siquiera puedo hacer eso.
Get lost!	¡Piérdete!
Have you ever invited Tom to your parties?	¿Has invitado a Tom a tus fiestas alguna vez?
Break it down.	Estropéalo.
Who will take care of the baby?	¿Quién cuidará al bebé?
What are you up to?	¿Qué estás haciendo?
Her face turned red.	Su rostro se puso rojo.
We've been here for a couple of minutes.	Hemos estado aquí por un par de minutos.
An old man spoke to me suddenly.	De repente, un anciano me habló.
I met a Canadian man named Tom.	Conocí a un canadiense llamado Tom.
It's what you deserve.	Es lo que os merecéis.
We can't live without oxygen.	No podemos vivir sin oxígeno.
He was playing with a toy.	Estaba jugando con un juguete.
They were forced to withdraw.	Ellos fueron forzados a retirarse.
Tom wants to know when you're coming home.	Tom quiere saber cuándo vendrás a casa.
Everything Tom said about Mary was true.	Todo lo que Tom dijo sobre Mary era verdad.
My shoelaces came undone.	Se me desataron los cordones.
I'm beginning to think that I shouldn't have enlisted in the army.	Comienzo a pensar que no debí haberme alistado en el ejército.
I also like cake.	A mi también me gustan los pasteles.
You don't know everything I do.	Tú no sabes todo lo que yo hago.
There's no water coming out of the shower.	No sale agua de la ducha.
We must do away with violence.	Debemos acabar con la violencia.
I waited for you.	Te esperé.
You should go to the barbershop.	Deberías ir a la peluquería.
My wife thinks I'm crazy.	Mi mujer piensa que estoy loco.
Neither of my brothers will be there.	Ninguno de mis hermanos estará allí.
I can't believe that you're really in love with me.	No puedo creer que realmente estés enamorado de mí.
I don't know what kind of person he is.	No sé qué clase de persona es.
What's all this noise?	¿Qué es todo este ruido?
Tom is over there.	Tom está allí.
My computer doesn't work anymore.	Mi ordenador ya no funciona.
Please excuse me for coming late.	Por favor, perdóneme por llegar tarde.
I didn't know how to deal with that situation.	No supe cómo gestionar esa situación.
My father has a lot of books.	Mi padre tiene muchos libros.
I am the tallest in our class.	Soy la más alta de nuestra clase.
When I opened the door, I found him asleep.	Cuando abrí la puerta lo encontré durmiendo.
This coffee is too bitter.	Este café está demasiado amargo.
Believe that if you want to.	Creelo si querés.
After the accident, the police told the crowd to keep back.	Tras el accidente, la policía le dijo a la multitud que se alejaran.
The evidence is indisputable.	La evidencia es irrefutable.
Tom begged me to help him do it.	Tom me rogó que le ayudara a hacerlo.
He does everything carelessly.	Hace todo al descuido.
Who is that?	¿Quién es ésa?
Our problems are nothing compared to hers.	Nuestros problemas no son nada comparado a los suyos.
Do you have better quality ones?	¿Tienes algunos de mejor calidad?
I'll do as you request.	Haré como pidas.
Tom is withdrawing his offer.	Tom está retirando su oferta.
She pretended not to hear me.	Ella fingía no oírme.
I worked all this week.	Trabajé toda esta semana.
How would you feel if your wife left you?	¿Cómo te sentirías si te dejara tu mujer?
You're driving too fast.	Usted está manejando muy rápido.
Tom was in that building.	Tom estaba en ese edificio.
I'm undressing.	Me estoy desvistiendo.
Go on home.	Váyase a casa.
He barely passed the examination.	Aprobó el examen por los pelos.
Some people want to amend the constitution.	Algunas personas quieren corregir la constitución.
I thought you were in charge.	Pensé que tú estabas a cargo.
I am not busy now.	No estoy ocupado ahora.
Other options remain.	Todavía quedan otras opciones.
